"ORDERNUMBER","QUANTITYORDERED","PRICEEACH","ORDERLINENUMBER","SALES","ORDERDATE","STATUS","QTR_ID","MONTH_ID","YEAR_ID","PRODUCTLINE","MSRP","PRODUCTCODE","CUSTOMERNAME","PHONE","ADDRESSLINE1","ADDRESSLINE2","CITY","STATE","POSTALCODE","COUNTRY","TERRITORY","CONTACTLASTNAME","CONTACTFIRSTNAME","DEALSIZE"
10012,89,59.51,4,5296.82,"01/17/2015 00:00","Shipped",1,1,2015,"Ships",161,"S18_2325","Euro Shopping Channel","1927576217","3938 Elm St","","Dallas","CA","93595","Finland","Japan","Martinez","Jane","Medium"
10013,65,34.17,1,2221.19,"05/04/2015 00:00","Resolved",2,5,2015,"Trucks and Buses",127.3,"S24_1628","Gifts4AllAges.com","1896293789","5519 Main St","","San Antonio","IL","66269","Denmark",NA,"Rodriguez","Sarah","Small"
10013,9,79.73,2,717.6,"03/06/2015 00:00","Disputed",1,3,2015,"Classic Cars",167.4,"S18_4027","Online Mini Collectables","2714188749","7975 Cedar Ln","","San Antonio","TX","12201","Italy","Japan","Jones","Sarah","Large"
10013,19,36,3,684.08,"09/28/2015 00:00","Cancelled",3,9,2015,"Vintage Cars",194.4,"S24_4278","Australian Gift Network, Co","7777536045","8733 Elm St","","San Antonio","CA","73216","Philippines","Japan","Smith","David","Medium"
10013,97,27.08,4,2626.53,"02/18/2015 00:00","Disputed",1,2,2015,"Trucks and Buses",107.1,"S18_2432","Mini Wheels Co.","2924957206","731 Elm St","","Chicago","IL","70183","Denmark","EMEA","Miller","John","Medium"
10013,44,46.81,5,2059.63,"02/27/2015 00:00","On Hold",1,2,2015,"Motorcycles",157,"S32_4289","Vida Sport, Ltd","3658482332","4895 Elm St","","San Diego","CA","58644","Spain","EMEA","Garcia","John","Large"
10015,17,44.06,1,748.96,"07/16/2015 00:00","Shipped",3,7,2015,"Planes",154.4,"S18_4668","Corrida Auto Replicas, Ltd","9588858415","5530 Oak Ave","","Phoenix","TX","82889","Australia","Japan","Davis","Emma","Small"
10015,6,68.07,2,408.42,"07/22/2015 00:00","On Hold",3,7,2015,"Planes",205.8,"S700_3167","Heintze Collectables","2317659888","5809 Pine Rd","","San Diego","TX","84884","Spain","Japan","Jones","Amy","Medium"
10015,81,37.9,3,3069.55,"05/09/2015 00:00","Disputed",2,5,2015,"Ships",69.5,"S18_3278","Australian Collectables, Ltd","3319266524","380 Main St","","Los Angeles","CA","97037","Ireland","APAC","Garcia","Emma","Large"
10015,42,63.22,4,2655.29,"08/02/2015 00:00","In Process",3,8,2015,"Classic Cars",188.8,"S18_2581","Collectable Mini Designs Co.","7722381833","6997 Oak Ave","","Houston","AZ","14355","Spain","Japan","Brown","Emma","Small"
10015,20,96.47,5,1929.36,"06/22/2015 00:00","Cancelled",2,6,2015,"Trucks and Buses",118.4,"S700_4002","Toys of Finland, Co.","7211694908","1463 Cedar Ln","","Philadelphia","CA","72876","Switzerland","Japan","Brown","Sarah","Medium"
10016,76,81.51,1,6194.65,"06/21/2015 00:00","Shipped",2,6,2015,"Trains",48.8,"S50_4713","Saveley & Henriot, Co.","2418538362","7649 Pine Rd","","San Antonio","CA","56095","Canada","APAC","Williams","Sarah","Medium"
10016,29,71.94,2,2086.18,"09/20/2015 00:00","In Process",3,9,2015,"Ships",99.2,"S24_2972","Tekni Collectables Inc.","7239432638","6239 Main St","","San Jose","AZ","97885","Austria",NA,"Jones","Jane","Small"
10020,22,75.94,1,1670.68,"10/23/2015 00:00","Cancelled",4,10,2015,"Trains",137.3,"S10_2016","Enaco Distributors","9206304463","5140 Oak Ave","","Dallas","TX","50052","Ireland","APAC","Williams","Emma","Medium"
10020,36,97.19,2,3498.88,"07/08/2015 00:00","Shipped",3,7,2015,"Trains",89.3,"S24_1785","Tokyo Collectables, Ltd","8791322054","903 Oak Ave","","Houston","CA","97381","Finland","Japan","Williams","David","Medium"
10020,65,72.66,3,4722.88,"10/29/2015 00:00","Resolved",4,10,2015,"Classic Cars",46.4,"S18_3782","Bavarian Collectables Imports, Co.","8128232972","3182 Main St","","Los Angeles","CA","63462","Austria","Japan","Miller","Sarah","Large"
10020,90,70.33,4,6329.46,"06/14/2015 00:00","In Process",2,6,2015,"Vintage Cars",99.6,"S24_3949","Dragon Souveniers, Ltd.","1037149370","9921 Oak Ave","","Los Angeles","PA","16434","Austria","APAC","Garcia","Sarah","Large"
10020,8,47.71,5,381.67,"10/13/2015 00:00","Cancelled",4,10,2015,"Motorcycles",59.4,"S18_1129","Signal Gift Stores","7231467530","7721 Elm St","","Houston","NY","76537","Japan","APAC","Johnson","Mike","Medium"
10021,43,79.26,1,3408.27,"09/15/2015 00:00","On Hold",3,9,2015,"Ships",83.4,"S18_1367","Royal Canadian Collectables, Ltd.","4748311277","8079 Main St","","Houston","IL","19541","USA","EMEA","Rodriguez","Chris","Small"
10021,66,94.57,2,6241.75,"06/11/2015 00:00","Resolved",2,6,2015,"Ships",191.1,"S18_4668","Corrida Auto Replicas, Ltd","1104761663","2490 Oak Ave","","Houston","NY","66846","Belgium","EMEA","Brown","Lisa","Large"
10022,10,49.89,1,498.88,"10/07/2015 00:00","Cancelled",4,10,2015,"Motorcycles",74.7,"S24_4278","Super Scale Inc.","3033287188","1462 Oak Ave","","New York","TX","38359","USA",NA,"Martinez","Mike","Large"
10022,23,30.19,2,694.45,"11/03/2015 00:00","On Hold",4,11,2015,"Ships",107.4,"S12_3380","Motor Mint Distributors Inc.","1516186316","3565 Elm St","","San Diego","NY","73556","Ireland",NA,"Johnson","John","Small"
10022,27,55.81,3,1506.95,"06/16/2015 00:00","Resolved",2,6,2015,"Planes",73,"S18_3856","Diecast Collectables","5574722742","1888 Pine Rd","","Los Angeles","PA","92354","Singapore","EMEA","Johnson","Chris","Small"
10022,57,34.52,4,1967.54,"11/19/2015 00:00","Shipped",4,11,2015,"Motorcycles",193.5,"S18_3140","Diecast Collectables","9649693875","9221 Cedar Ln","","San Jose","CA","13003","Finland","EMEA","Garcia","John","Medium"
10024,81,35.31,1,2859.71,"11/27/2015 00:00","In Process",4,11,2015,"Classic Cars",69.7,"S32_1374","CAF Imports","4841561162","193 Oak Ave","","New York","NY","78021","UK",NA,"Jones","Emma","Small"
10024,39,32.35,2,1261.55,"05/10/2015 00:00","Disputed",2,5,2015,"Planes",84.9,"S18_2957","The Sharp Gifts Warehouse","7088322555","441 Pine Rd","","Los Angeles","NY","24972","Ireland","EMEA","Williams","Amy","Medium"
10024,67,65.51,3,4389.45,"01/24/2015 00:00","On Hold",1,1,2015,"Motorcycles",155.6,"S24_2972","Gifts4AllAges.com","5439309507","1433 Cedar Ln","","Dallas","TX","89790","Italy",NA,"Miller","Chris","Small"
10024,53,57.05,4,3023.66,"09/18/2015 00:00","In Process",3,9,2015,"Classic Cars",79.8,"S10_4698","Souveniers And Things Co.","4148768647","6296 Main St","","New York","CA","29312","Belgium","Japan","Johnson","David","Small"
10024,33,68.39,5,2256.77,"02/04/2015 00:00","Cancelled",1,2,2015,"Trucks and Buses",197.8,"S72_3212","Auto Canal Petit","5364581229","6262 Pine Rd","","San Diego","CA","53819","Finland","Japan","Williams","David","Medium"
10025,87,46.44,1,4040.38,"07/19/2015 00:00","Disputed",3,7,2015,"Planes",155,"S24_3420","Oulu Toy Supplies, Inc.","6373342312","284 Cedar Ln","","Chicago","CA","58181","Sweden","APAC","Miller","Lisa","Large"
10025,16,74.32,2,1189.15,"07/24/2015 00:00","Disputed",3,7,2015,"Vintage Cars",42.9,"S32_1268","Canadian Gift Exchange Network","5567169548","378 Pine Rd","","New York","CA","20265","UK",NA,"Rodriguez","Amy","Large"
10029,25,71.49,1,1787.37,"06/02/2015 00:00","Disputed",2,6,2015,"Trucks and Buses",133.7,"S18_3782","Royal Canadian Collectables, Ltd.","9883307647","6091 Oak Ave","","New York","TX","80836","Denmark","APAC","Brown","Lisa","Small"
10029,58,75.37,2,4371.51,"06/11/2015 00:00","Shipped",2,6,2015,"Ships",181.8,"S18_3232","Mini Gifts Distributors Ltd.","6795804954","7257 Cedar Ln","","Philadelphia","AZ","59469","Japan",NA,"Rodriguez","Tom","Small"
10029,94,41.15,3,3868.15,"01/11/2015 00:00","Cancelled",1,1,2015,"Trucks and Buses",170.5,"S18_3856","Bavarian Collectables Imports, Co.","3146677438","4642 Cedar Ln","","New York","NY","77024","Philippines","EMEA","Williams","Mike","Medium"
10030,43,32.88,1,1414.01,"06/03/2015 00:00","Resolved",2,6,2015,"Trucks and Buses",102.2,"S10_2016","Baane Mini Imports","8032439491","6649 Pine Rd","","New York","NY","70661","Switzerland",NA,"Smith","Sarah","Small"
10030,40,48.71,2,1948.22,"04/05/2015 00:00","Disputed",2,4,2015,"Vintage Cars",127.5,"S24_3420","Suominen Souveniers","8125123602","3928 Main St","","Phoenix","CA","41044","Denmark","APAC","Jones","Jane","Medium"
10031,77,85.41,1,6576.63,"12/05/2015 00:00","On Hold",4,12,2015,"Motorcycles",107.9,"S32_1374","Corporate Gift Ideas Co.","9987544686","5277 Oak Ave","","Los Angeles","CA","28919","France","Japan","Miller","Sarah","Large"
10031,14,80.09,2,1121.32,"10/29/2015 00:00","Shipped",4,10,2015,"Motorcycles",182.6,"S10_1949","Volvo Model Replicas, Co","2477501949","4593 Pine Rd","","San Antonio","IL","79339","UK","EMEA","Davis","Sarah","Small"
10031,44,68.18,3,2999.82,"04/03/2015 00:00","Cancelled",2,4,2015,"Trains",46.1,"S24_2972","Australian Gift Network, Co","1433236127","9203 Main St","","San Jose","TX","34631","Spain",NA,"Martinez","Emma","Small"
10033,87,47.4,1,4123.56,"01/23/2015 00:00","Resolved",1,1,2015,"Classic Cars",184.7,"S700_3167","Scandinavian Gift Ideas","9836812177","2186 Pine Rd","","San Antonio","AZ","23938","Ireland",NA,"Smith","Lisa","Medium"
10033,22,49.01,2,1078.23,"11/24/2015 00:00","In Process",4,11,2015,"Ships",175,"S32_3207","West Coast Collectables Co.","9881451026","9364 Main St","","Philadelphia","CA","50825","Denmark","Japan","Miller","Amy","Large"
10033,88,38.98,3,3430.42,"03/18/2015 00:00","Shipped",1,3,2015,"Classic Cars",122.2,"S18_4522","Danish Wholesale Imports","4533027616","1236 Oak Ave","","Houston","CA","22892","Sweden","Japan","Smith","Tom","Small"
10033,54,76.64,4,4138.37,"05/18/2015 00:00","Disputed",2,5,2015,"Trains",205.2,"S24_3151","Vitachrome Inc.","9371295293","3352 Cedar Ln","","Phoenix","CA","83909","Japan","APAC","Smith","Jane","Large"
10033,67,76.06,5,5095.91,"07/02/2015 00:00","Disputed",3,7,2015,"Planes",182.4,"S12_2823","Heintze Collectables","5648522153","1534 Pine Rd","","Phoenix","NY","40445","Belgium","APAC","Miller","David","Small"
10034,88,69.27,1,6096.17,"05/10/2015 00:00","Resolved",2,5,2015,"Vintage Cars",121.6,"S32_3207","Australian Gift Network, Co","8676921986","750 Oak Ave","","New York","TX","67781","Switzerland","EMEA","Williams","Tom","Large"
10034,43,97.41,2,4188.75,"10/01/2015 00:00","Resolved",4,10,2015,"Vintage Cars",35.8,"S24_2840","Technics Stores Inc.","1244739987","7518 Oak Ave","","New York","TX","95565","Switzerland","EMEA","Brown","Amy","Medium"
10034,61,58.89,3,3592.37,"01/06/2015 00:00","On Hold",1,1,2015,"Vintage Cars",159.3,"S12_1666","CAF Imports","6877354002","193 Oak Ave","","Dallas","CA","53261","Switzerland","EMEA","Johnson","Chris","Small"
10034,95,46.24,4,4392.61,"07/21/2015 00:00","On Hold",3,7,2015,"Motorcycles",57.5,"S18_3136","Rovelli Gifts","2318397270","9540 Oak Ave","","San Diego","AZ","68594","Germany",NA,"Miller","Sarah","Large"
10036,71,93.13,1,6612.32,"09/14/2015 00:00","Cancelled",3,9,2015,"Vintage Cars",40.6,"S18_3856","Diecast Collectables","2141431646","5630 Cedar Ln","","Chicago","AZ","44108","France","APAC","Smith","John","Medium"
10037,74,40.82,1,3020.49,"05/19/2015 00:00","Cancelled",2,5,2015,"Trucks and Buses",95.3,"S24_2000","Men 'R' US Retailers, Ltd.","2684029475","8373 Pine Rd","","Los Angeles","AZ","66932","Austria","Japan","Brown","Emma","Medium"
10037,63,75.64,2,4765.33,"09/01/2015 00:00","Disputed",3,9,2015,"Trucks and Buses",106.5,"S32_1268","Double Decker Gift Stores, Ltd","2458306928","8002 Pine Rd","","New York","TX","89335","Belgium","Japan","Jones","Chris","Medium"
10037,18,32.97,3,593.41,"06/12/2015 00:00","In Process",2,6,2015,"Vintage Cars",147.8,"S24_2841","Mini Creations Ltd.","5546967000","9392 Pine Rd","","Dallas","TX","38361","USA",NA,"Martinez","Amy","Small"
10037,6,58.11,4,348.64,"06/29/2015 00:00","On Hold",2,6,2015,"Trucks and Buses",84.4,"S24_1785","Collectables For Less Inc.","4401918512","4100 Cedar Ln","","Houston","TX","90224","UK","EMEA","Jones","Lisa","Large"
10037,27,87.46,5,2361.37,"04/15/2015 00:00","In Process",2,4,2015,"Classic Cars",159.8,"S18_2248","Mini Wheels Co.","9358622006","9151 Elm St","","New York","AZ","63728","Sweden","Japan","Smith","Chris","Medium"
10038,31,57.64,1,1786.85,"09/06/2015 00:00","Disputed",3,9,2015,"Vintage Cars",55.8,"S24_1628","Mini Creations Ltd.","3299518188","2134 Oak Ave","","San Antonio","TX","38637","Australia",NA,"Brown","David","Small"
10038,10,62.05,2,620.52,"02/03/2015 00:00","Resolved",1,2,2015,"Trains",181.7,"S50_1392","Super Scale Inc.","7179335662","6852 Oak Ave","","Dallas","TX","65934","Australia","EMEA","Johnson","Emma","Medium"
10038,19,95.67,3,1817.77,"03/18/2015 00:00","Resolved",1,3,2015,"Planes",46.5,"S24_3816","Cambridge Collectables Co.","5142038896","4319 Oak Ave","","Los Angeles","CA","87988","UK","Japan","Johnson","Tom","Small"
10038,71,37.47,4,2660.33,"12/28/2015 00:00","Disputed",4,12,2015,"Ships",166.2,"S18_3232","Mini Caravy","6278878232","3572 Oak Ave","","Dallas","PA","97783","Australia","Japan","Johnson","Jane","Small"
10040,49,41.92,1,2054.3,"03/27/2015 00:00","Disputed",1,3,2015,"Classic Cars",180.1,"S700_4002","Daedalus Designs Imports","2643061142","2484 Cedar Ln","","Houston","PA","65578","France","EMEA","Jones","Amy","Medium"
10040,24,71.33,2,1711.97,"03/08/2015 00:00","On Hold",1,3,2015,"Vintage Cars",180,"S18_1662","The Sharp Gifts Warehouse","7636484938","3719 Cedar Ln","","Philadelphia","TX","66510","Denmark","Japan","Miller","David","Small"
10040,67,42.19,3,2826.47,"01/16/2015 00:00","Cancelled",1,1,2015,"Trains",40.2,"S24_4620","Enaco Distributors","6275276385","2466 Elm St","","Los Angeles","TX","30922","Finland",NA,"Davis","Chris","Large"
10042,88,81.63,1,7183.59,"09/28/2015 00:00","Disputed",3,9,2015,"Trucks and Buses",55.8,"S10_4962","Super Scale Inc.","1808755971","3608 Cedar Ln","","Philadelphia","TX","47491","UK","APAC","Martinez","Sarah","Large"
10045,30,41.44,1,1243.25,"07/30/2015 00:00","Shipped",3,7,2015,"Planes",106,"S18_2795","AV Stores, Co.","7793421193","3207 Cedar Ln","","Philadelphia","PA","96480","Austria","Japan","Williams","Sarah","Small"
10045,64,45.35,2,2902.69,"06/01/2015 00:00","On Hold",2,6,2015,"Trains",112.1,"S18_2870","Volvo Model Replicas, Co","9576178358","3546 Oak Ave","","Phoenix","TX","22479","Ireland",NA,"Smith","David","Large"
10049,38,33.43,1,1270.4,"03/12/2015 00:00","On Hold",1,3,2015,"Classic Cars",41.4,"S12_3380","Canadian Gift Exchange Network","3394062355","1377 Main St","","Houston","TX","33567","Spain",NA,"Rodriguez","Sarah","Large"
10049,7,56.38,2,394.64,"08/18/2015 00:00","Resolved",3,8,2015,"Trains",212,"S700_2466","Auto Assoc. & Cie.","1099323552","4113 Cedar Ln","","Houston","CA","30229","Denmark","APAC","Martinez","Sarah","Small"
10049,17,47.79,3,812.45,"11/01/2015 00:00","Cancelled",4,11,2015,"Planes",170.8,"S24_3191","Reims Collectables","9169318653","6919 Oak Ave","","San Jose","CA","61441","USA","APAC","Brown","Jane","Medium"
10049,21,86.74,4,1821.64,"07/31/2015 00:00","Resolved",3,7,2015,"Motorcycles",200.6,"S18_2870","Marta's Replicas Co.","2288252603","5774 Oak Ave","","Houston","TX","37469","Austria","Japan","Miller","Lisa","Large"
10050,87,64.89,1,5645.79,"11/26/2015 00:00","Resolved",4,11,2015,"Planes",138.7,"S12_3990","Diecast Collectables","6366329024","7858 Cedar Ln","","Los Angeles","CA","87457","Finland",NA,"Williams","Mike","Small"
10050,68,35.36,2,2404.36,"11/01/2015 00:00","Disputed",4,11,2015,"Trains",145.2,"S24_4258","Gift Depot Inc.","5718571343","2235 Main St","","Houston","CA","37224","Germany","APAC","Rodriguez","Jane","Small"
10051,83,91.35,1,7581.88,"12/09/2015 00:00","Resolved",4,12,2015,"Ships",179.1,"S24_4048","Classic Legends Inc.","6407718363","9766 Cedar Ln","","Los Angeles","CA","92717","Germany",NA,"Miller","Lisa","Large"
10051,94,50.1,2,4709.85,"04/24/2015 00:00","Disputed",2,4,2015,"Planes",112.7,"S50_4713","Euro Shopping Channel","5997369073","7013 Elm St","","Dallas","CA","36577","Japan","EMEA","Martinez","Emma","Small"
10051,80,36.73,3,2938.67,"01/18/2015 00:00","Resolved",1,1,2015,"Trains",73.2,"S18_4027","Cambridge Collectables Co.","5569082343","8796 Oak Ave","","Los Angeles","CA","14240","Denmark","Japan","Davis","Lisa","Medium"
10052,28,62.57,1,1752.07,"04/15/2015 00:00","Resolved",2,4,2015,"Motorcycles",140.7,"S18_4522","Gift Ideas Corp.","1797429094","7494 Cedar Ln","","Los Angeles","TX","80932","Singapore","Japan","Rodriguez","Chris","Medium"
10053,47,28.27,1,1328.76,"08/22/2015 00:00","Cancelled",3,8,2015,"Vintage Cars",119.1,"S18_4600","Collectable Mini Designs Co.","2878166356","2401 Main St","","Dallas","IL","84056","Canada","Japan","Garcia","John","Medium"
10053,89,49.19,2,4378.35,"02/26/2015 00:00","Shipped",1,2,2015,"Motorcycles",154.3,"S24_2887","Mini Gifts Distributors Ltd.","1299592195","895 Main St","","Dallas","AZ","24007","Denmark",NA,"Johnson","Chris","Medium"
10053,10,76.47,3,764.68,"07/17/2015 00:00","In Process",3,7,2015,"Classic Cars",120.6,"S24_1046","Handji Gifts& Co","5671589953","4173 Main St","","Los Angeles","NY","59034","USA","APAC","Smith","David","Medium"
10059,46,71.86,1,3305.44,"09/03/2015 00:00","Cancelled",3,9,2015,"Trucks and Buses",35.4,"S18_1889","Tekni Collectables Inc.","8119931382","4232 Oak Ave","","Philadelphia","TX","40462","Ireland",NA,"Brown","Chris","Medium"
10059,88,99.34,2,8742,"04/30/2015 00:00","Cancelled",2,4,2015,"Ships",187.4,"S12_3380","Tokyo Collectables, Ltd","7997493652","2063 Cedar Ln","","Philadelphia","CA","63524","Spain","APAC","Davis","Emma","Large"
10059,84,62.92,3,5285.19,"05/27/2015 00:00","Shipped",2,5,2015,"Ships",143.2,"S24_3420","Tokyo Collectables, Ltd","3931788590","9765 Elm St","","New York","CA","84891","Norway","EMEA","Brown","Mike","Large"
10059,46,37.88,4,1742.28,"12/12/2015 00:00","Resolved",4,12,2015,"Motorcycles",196.8,"S18_3320","giftsbymail.co.uk","9434209090","517 Oak Ave","","San Antonio","AZ","71852","Japan","APAC","Davis","Mike","Medium"
10061,94,54.49,1,5122.13,"06/29/2015 00:00","Shipped",2,6,2015,"Trucks and Buses",109.6,"S18_3259","Corrida Auto Replicas, Ltd","4242249005","1362 Oak Ave","","Los Angeles","CA","85676","Germany",NA,"Smith","Emma","Small"
10061,16,45.6,2,729.54,"12/22/2015 00:00","In Process",4,12,2015,"Classic Cars",112.4,"S18_4600","Signal Gift Stores","3337175467","4577 Oak Ave","","Los Angeles","PA","42082","Norway","EMEA","Miller","Tom","Medium"
10061,10,47.08,3,470.8,"04/03/2015 00:00","Disputed",2,4,2015,"Ships",186.1,"S24_2360","Clover Collections, Co.","2021464166","3367 Main St","","New York","CA","48446","Singapore","APAC","Williams","Mike","Small"
10061,56,38.35,4,2147.66,"11/15/2015 00:00","Disputed",4,11,2015,"Classic Cars",113.8,"S24_4278","Australian Collectors, Co.","2038584255","5422 Pine Rd","","Houston","AZ","75325","Sweden",NA,"Williams","Mike","Small"
10061,69,51.66,5,3564.8,"11/05/2015 00:00","On Hold",4,11,2015,"Motorcycles",71.7,"S18_3782","Corrida Auto Replicas, Ltd","5587138718","7775 Pine Rd","","San Antonio","NY","27332","Singapore","APAC","Johnson","Amy","Small"
10062,72,32.67,1,2352.28,"10/06/2015 00:00","Cancelled",4,10,2015,"Motorcycles",204.3,"S24_3191","The Sharp Gifts Warehouse","1063555808","4440 Elm St","","Dallas","TX","94040","Ireland","APAC","Williams","David","Large"
10062,41,44.25,2,1814.34,"08/12/2015 00:00","Cancelled",3,8,2015,"Motorcycles",90.9,"S24_3420","Gift Depot Inc.","3422939480","1013 Pine Rd","","Houston","TX","84685","France",NA,"Martinez","Jane","Small"
10062,41,78.85,3,3232.7,"12/14/2015 00:00","Cancelled",4,12,2015,"Trucks and Buses",149.8,"S18_1129","Handji Gifts& Co","4687504457","4190 Main St","","Dallas","NY","76328","Spain","APAC","Miller","Emma","Large"
10062,40,51.68,4,2067.36,"11/12/2015 00:00","Shipped",4,11,2015,"Classic Cars",168.8,"S18_2957","La Rochelle Gifts","6924853098","8136 Pine Rd","","New York","TX","13801","Austria","EMEA","Jones","Tom","Large"
10062,16,30.93,5,494.91,"12/09/2015 00:00","Cancelled",4,12,2015,"Motorcycles",151.5,"S72_1253","Diecast Classics Inc.","9597207959","5968 Cedar Ln","","Philadelphia","IL","11738","Singapore","EMEA","Miller","Amy","Medium"
10063,65,77.06,1,5009.06,"03/21/2015 00:00","Disputed",1,3,2015,"Ships",164,"S700_1691","AV Stores, Co.","9303344830","708 Main St","","Phoenix","TX","94779","France","Japan","Williams","Sarah","Medium"
10063,58,31.85,2,1847.21,"06/02/2015 00:00","Disputed",2,6,2015,"Trains",173.1,"S24_3191","Online Diecast Creations Co.","2782971161","5348 Elm St","","San Jose","CA","50165","Denmark",NA,"Johnson","Mike","Small"
10066,93,51.86,1,4823.41,"10/08/2015 00:00","Disputed",4,10,2015,"Trucks and Buses",49.4,"S18_3482","Marseille Mini Autos","4235483629","9592 Main St","","San Diego","CA","53104","Philippines","EMEA","Brown","Lisa","Small"
10066,19,91.76,2,1743.45,"03/18/2015 00:00","Disputed",1,3,2015,"Classic Cars",187.8,"S12_1666","Men 'R' US Retailers, Ltd.","9086042359","7283 Pine Rd","","San Antonio","TX","16051","Denmark","EMEA","Williams","John","Large"
10068,36,33.79,1,1216.48,"07/04/2015 00:00","Disputed",3,7,2015,"Classic Cars",97,"S24_2011","Blauer See Auto, Co.","1312016735","2135 Oak Ave","","New York","CA","60010","Germany",NA,"Garcia","Emma","Large"
